IDEvento;DSEvento
404;CONC LAV/PRORROGAÇÃO INÍCIO LAVRA NÃO AUTORIZADA PUBL
405;CONC LAV/INÍCIO DE LAVRA COMUNICADO PROTOC
406;CONC LAV/IMISSÃO DE POSSE EDITAL PUBL
407;CONC LAV/IMISSÃO DE POSSE REALIZADA
408;CONC LAV/IMISSÃO DE POSSE NÃO REALIZADA
409;CONC LAV/IMISSÃO DE POSSE ANULADA PUBL
410;CONC LAV/ARQUIVAMENTO PROCESSO PUBL
411;CONC LAV/SUSPENSÃO TRABALHOS LAVRA SOLICITAÇÃO PROTOC
412;CONC LAV/VISTORIA IN LOCO LAVRA IRREGULAR
413;CONC LAV/VISTORIA IN LOCO LAVRA ÁREA ABANDONADA
414;CONC LAV/RELATÓRIO PESQUISA COMPLEMENTAR PROTOC
415;CONC LAV/MODIFICAÇÃO DE PAE PROTOC
416;CONC LAV/MODIFICAÇÃO DE PAE APROVADO PUBL
417;CONC LAV/MODIFICAÇÃO DE PAE NÃO APROVADO PUBL
418;CONC LAV/RAL ANO BASE APRESENTADO
419;CONC LAV/RAL NÃO ACEITO PUBL
420;CONC LAV/RAL ANOS ANTERIORES APRESENTADO
421;CONC LAV/RETIFICAÇÃO ÁREA CONCESSÃO LAVRA SOLICITAÇÃO PROTOC
422;CONC LAV/TRANSF DIREITOS-CESSÃO TOTAL NEGADA MME PUBL
423;CONC LAV/RETIFICAÇÃO CONCESSÃO LAVRA NEGADA PUBL
424;CONC LAV/RELATÓRIO REAVALIAÇÃO RESERVA PROTOC
425;CONC LAV/RELATÓRIO REAVALIAÇÃO RESERVA APROVADO PUBL
426;CONC LAV/ADITAMENTO NOVA SUBSTÂNCIA PROTOC
427;CONC LAV/ADITAMENTO NOVA SUBSTÂNCIA AUTORIZADO MME PUBL
428;CONC LAV/ADITAMENTO NOVA SUBSTÂNCIA NÃO AUTORIZADO MME PUBL
429;CONC LAV/RELATÓRIO REAVALIAÇÃO RESERVA NÃO APROVADO PUBL
430;CONC LAV/RENÚNCIA CONCESSÃO LAVRA PROTOC
431;CONC LAV/BAIXA TRANSCRIÇÃO TÍTULO DE LAVRA MME
432;CONC LAV/ÁREA SERVIDÃO SOLICITAÇÃO PROTOC
