DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
300.285/2010;846.174/2011;8;2011-04-25;;*
300.285/2018;810.971/2024;8;2024-11-13;;*
300.286/2011;826.059/2013;8;2013-01-30;;*
300.287/2013;870.095/2015;8;2015-01-20;;*
300.288/2011;878.100/2015;8;2015-08-19;;*
300.289/2010;831.240/2018;8;2018-07-04;;*
300.289/2011;815.568/2024;8;2024-12-10;;*
300.289/2017;864.648/2021;8;2021-11-29;;*
300.290/2011;878.019/2015;8;2015-03-10;;*
300.291/2011;826.937/2014;8;2014-11-21;;*
300.291/2012;831.288/2013;8;2013-05-07;;*
300.291/2013;833.027/2015;8;2015-11-25;;*
300.291/2017;864.649/2021;8;2021-11-29;;*
300.292/2021;832.441/2024;8;2024-11-27;;*
300.293/2013;831.616/2018;8;2018-09-06;;*
300.293/2017;864.650/2021;8;2021-11-29;;*
300.294/2013;800.504/2014;8;2014-09-08;;*
300.295/2018;826.573/2024;8;2024-11-22;;*
300.296/2014;896.021/2025;8;2025-02-26;;*
300.297/2011;826.202/2013;8;2013-03-12;;*
300.297/2012;871.452/1988;8;2015-05-13;;*
300.297/2012;872.555/2015;8;2015-11-06;;*
300.298/2011;815.544/2024;8;2024-12-07;;*
300.299/2016;832.071/2024;8;2024-10-31;;*
300.299/2018;826.637/2024;8;2024-12-04;;*
300.301/2009;861.484/2010;8;2010-10-26;;*
300.301/2017;868.309/2021;8;2021-11-09;;*
300.301/2018;886.313/2024;8;2024-12-12;;*
300.302/2017;896.331/2021;8;2021-11-26;;*
300.303/2011;820.694/2016;8;2016-11-07;;*
300.304/2011;820.842/2016;8;2016-11-23;;*
300.304/2017;815.230/2021;8;2021-06-09;;*
300.306/2011;861.342/2012;8;2012-07-03;;*
300.306/2018;861.150/2021;8;2021-08-20;;*
300.307/2012;815.421/2022;8;2022-10-14;;*
300.307/2019;815.585/2024;8;2024-12-10;;*
300.308/2011;826.259/2012;8;2012-04-23;;*
300.308/2014;815.336/2022;8;2022-09-29;;*
300.308/2019;815.569/2021;8;2021-11-18;;*
300.309/2014;815.008/2021;8;2021-02-22;;*
300.309/2017;832.482/2022;8;2022-10-25;;*
300.310/2019;861.329/2021;8;2021-08-31;;*
300.310/2022;848.334/2023;8;2023-09-22;;*
300.311/2009;820.839/2016;8;2016-11-23;;*
300.312/2019;832.478/2024;8;2024-11-29;;*
300.313/2012;871.438/2012;8;2012-06-13;;*
300.313/2016;896.196/2022;8;2022-10-11;;*
300.314/2016;811.113/2024;8;2024-12-05;;*
300.314/2016;811.114/2024;8;2024-12-05;;*
300.315/2017;878.095/2021;8;2021-08-27;;*
300.315/2019;832.153/2024;8;2024-11-12;;*
300.316/2016;890.188/2021;8;2021-08-30;;*
300.316/2020;872.256/2024;8;2024-12-10;;*
300.317/2009;826.593/2010;8;2010-10-06;;*
300.317/2011;826.253/2012;8;2012-04-23;;*
300.318/2011;826.257/2012;8;2012-04-23;;*
300.318/2013;820.755/2017;8;2017-11-14;;*
300.318/2014;815.565/2021;8;2021-11-16;;*
300.318/2017;896.247/2022;8;2022-10-18;;*
300.318/2019;803.415/2024;8;2024-12-09;;*
300.319/2009;890.426/2010;8;2010-08-20;;*
300.319/2013;831.601/2018;8;2018-09-06;;*
300.319/2017;896.159/2022;8;2022-09-21;;*
300.319/2020;820.845/2024;8;2024-12-11;;*
300.320/2019;868.202/2021;8;2021-08-09;;*
300.322/2013;820.312/2018;8;2018-05-14;;*
300.323/2014;830.852/2015;8;2015-04-09;;*
300.323/2017;831.829/2021;8;2021-08-12;;*
300.323/2020;832.614/2024;8;2024-12-09;;*
300.324/2013;820.752/2017;8;2017-11-13;;*
300.325/2014;815.605/2021;8;2021-11-30;;*
300.326/2009;896.332/2015;8;2015-10-13;;*
300.326/2020;831.949/2021;8;2021-08-24;;*
300.328/2011;860.955/2012;8;2012-05-16;;*
300.328/2016;810.727/2021;8;2021-08-20;;*
300.330/2011;860.953/2012;8;2012-05-15;;*
300.330/2018;820.028/2021;8;2021-02-22;;*
300.332/2020;832.556/2024;8;2024-12-05;;*
300.335/2016;864.321/2022;8;2022-10-03;;*
300.339/2019;820.698/2024;8;2024-11-18;;*
300.340/2018;832.697/2024;8;2024-12-11;;*
300.341/2018;832.672/2024;8;2024-12-11;;*
300.342/2014;866.262/2017;8;2017-03-28;;*
300.342/2014;866.268/2017;8;2017-03-28;;*
300.343/2014;866.267/2017;8;2017-03-28;;*
300.343/2017;871.770/2022;8;2022-10-27;;*
300.344/2011;873.481/2011;8;2011-08-26;;*
300.347/2017;826.409/2022;8;2022-10-27;;*
300.349/2009;896.368/2014;8;2014-08-05;;*
300.349/2011;831.706/2012;8;2012-05-23;;*
300.349/2021;810.320/2025;8;2025-05-13;;*
300.351/2017;826.392/2022;8;2022-10-14;;*
300.351/2020;840.331/2021;8;2021-11-30;;*
